generic_name,cardiotoxicity__binary,cardiotoxicity__ternary,dermatological_toxicity__binary,dermatological_toxicity__ternary,hematological__binary,hematological__ternary,infertility__binary,infertility__ternary,liver_toxicity__binary,liver_toxicity__ternary,ototoxicity__binary,ototoxicity__ternary,pulmonary_toxicity__binary,pulmonary_toxicity__ternary,renal_toxicity__binary,renal_toxicity__ternary,SMILES_standardized,SMILES_clean,SMILES_filled,SMILES_source,name_best_query,name_corrected,SMILES_recovered,SMILES_recovered_source,recovery_status,SMILES_recovered_v3,SMILES_recovered_v3_source,recovery_debug_v3
VILTOLARSEN,1,,1,,0,,0,,0,,0,,0,,1,,Cc1cn(C2CN(P(=O)(OCC3CNCC(n4ccc(N)nc4=O)O3)N(C)C)CC(COP(=O)(N(C)C)N3CC(COP(=O)(N(C)C)N4CC(COP(=O)(N(C)C)N5CC(COP(=O)(N(C)C)N6CC(COP(=O)(N(C)C)N7CC(COP(=O)(N(C)C)N8CC(COP(=O)(N(C)C)N9CC(COP(=O)(N(C)C)N%10CC(COP(=O)(N(C)C)N%11CC(COP(=O)(N(C)C)N%12CC(COP(=O)(N(C)C)N%13CC(COP(=O)(N(C)C)N%14CC(COP(=O)(N(C)C)N%15CC(COP(=O)(N(C)C)N%16CC(COP(=O)(N(C)C)N%17CC(COP(=O)(N(C)C)N%18CC(COP(=O)(N(C)C)N%19CC(COP(=O)(N(C)C)N%20CC(COP(=O)(N(C)C)N%21CC(CO)OC(n%22ccc(N)nc%22=O)C%21)OC(n%21ccc(N)nc%21=O)C%20)OC(n%20cc(C)c(=O)[nH]c%20=O)C%19)OC(n%19ccc(N)nc%19=O)C%18)OC(n%18ccc(N)nc%18=O)C%17)OC(n%17cnc%18c(=O)[nH]c(N)nc%18%17)C%16)OC(n%16cnc%17c(=O)[nH]c(N)nc%17%16)C%15)OC(n%15cc(C)c(=O)[nH]c%15=O)C%14)OC(n%14cc(C)c(=O)[nH]c%14=O)C%13)OC(n%13ccc(N)nc%13=O)C%12)OC(n%12cc(C)c(=O)[nH]c%12=O)C%11)OC(n%11cnc%12c(=O)[nH]c(N)nc%12%11)C%10)OC(n%10cnc%11c(N)ncnc%11%10)C9)OC(n9cnc%10c(N)ncnc%109)C8)OC(n8cnc9c(=O)[nH]c(N)nc98)C7)OC(n7cnc8c(=O)[nH]c(N)nc87)C6)OC(n6cc(C)c(=O)[nH]c6=O)C5)OC(n5cnc6c(=O)[nH]c(N)nc65)C4)OC(n4cc(C)c(=O)[nH]c4=O)C3)O2)c(=O)[nH]c1=O,cc1cn(c2cn(p(=o)(occ3cncc(n4ccc(n)nc4=o)o3)n(c)c)cc(cop(=o)(n(c)c)n3cc(cop(=o)(n(c)c)n4cc(cop(=o)(n(c)c)n5cc(cop(=o)(n(c)c)n6cc(cop(=o)(n(c)c)n7cc(cop(=o)(n(c)c)n8cc(cop(=o)(n(c)c)n9cc(cop(=o)(n(c)c)n%10cc(cop(=o)(n(c)c)n%11cc(cop(=o)(n(c)c)n%12cc(cop(=o)(n(c)c)n%13cc(cop(=o)(n(c)c)n%14cc(cop(=o)(n(c)c)n%15cc(cop(=o)(n(c)c)n%16cc(cop(=o)(n(c)c)n%17cc(cop(=o)(n(c)c)n%18cc(cop(=o)(n(c)c)n%19cc(cop(=o)(n(c)c)n%20cc(cop(=o)(n(c)c)n%21cc(co)oc(n%22ccc(n)nc%22=o)c%21)oc(n%21ccc(n)nc%21=o)c%20)oc(n%20cc(c)c(=o)[nh]c%20=o)c%19)oc(n%19ccc(n)nc%19=o)c%18)oc(n%18ccc(n)nc%18=o)c%17)oc(n%17cnc%18c(=o)[nh]c(n)nc%18%17)c%16)oc(n%16cnc%17c(=o)[nh]c(n)nc%17%16)c%15)oc(n%15cc(c)c(=o)[nh]c%15=o)c%14)oc(n%14cc(c)c(=o)[nh]c%14=o)c%13)oc(n%13ccc(n)nc%13=o)c%12)oc(n%12cc(c)c(=o)[nh]c%12=o)c%11)oc(n%11cnc%12c(=o)[nh]c(n)nc%12%11)c%10)oc(n%10cnc%11c(n)ncnc%11%10)c9)oc(n9cnc%10c(n)ncnc%109)c8)oc(n8cnc9c(=o)[nh]c(n)nc98)c7)oc(n7cnc8c(=o)[nh]c(n)nc87)c6)oc(n6cc(c)c(=o)[nh]c6=o)c5)oc(n5cnc6c(=o)[nh]c(n)nc65)c4)oc(n4cc(c)c(=o)[nh]c4=o)c3)o2)c(=o)[nh]c1=o,Cc1cn(C2CN(P(=O)(OCC3CNCC(n4ccc(N)nc4=O)O3)N(C)C)CC(COP(=O)(N(C)C)N3CC(COP(=O)(N(C)C)N4CC(COP(=O)(N(C)C)N5CC(COP(=O)(N(C)C)N6CC(COP(=O)(N(C)C)N7CC(COP(=O)(N(C)C)N8CC(COP(=O)(N(C)C)N9CC(COP(=O)(N(C)C)N%10CC(COP(=O)(N(C)C)N%11CC(COP(=O)(N(C)C)N%12CC(COP(=O)(N(C)C)N%13CC(COP(=O)(N(C)C)N%14CC(COP(=O)(N(C)C)N%15CC(COP(=O)(N(C)C)N%16CC(COP(=O)(N(C)C)N%17CC(COP(=O)(N(C)C)N%18CC(COP(=O)(N(C)C)N%19CC(COP(=O)(N(C)C)N%20CC(COP(=O)(N(C)C)N%21CC(CO)OC(n%22ccc(N)nc%22=O)C%21)OC(n%21ccc(N)nc%21=O)C%20)OC(n%20cc(C)c(=O)[nH]c%20=O)C%19)OC(n%19ccc(N)nc%19=O)C%18)OC(n%18ccc(N)nc%18=O)C%17)OC(n%17cnc%18c(=O)[nH]c(N)nc%18%17)C%16)OC(n%16cnc%17c(=O)[nH]c(N)nc%17%16)C%15)OC(n%15cc(C)c(=O)[nH]c%15=O)C%14)OC(n%14cc(C)c(=O)[nH]c%14=O)C%13)OC(n%13ccc(N)nc%13=O)C%12)OC(n%12cc(C)c(=O)[nH]c%12=O)C%11)OC(n%11cnc%12c(=O)[nH]c(N)nc%12%11)C%10)OC(n%10cnc%11c(N)ncnc%11%10)C9)OC(n9cnc%10c(N)ncnc%109)C8)OC(n8cnc9c(=O)[nH]c(N)nc98)C7)OC(n7cnc8c(=O)[nH]c(N)nc87)C6)OC(n6cc(C)c(=O)[nH]c6=O)C5)OC(n5cnc6c(=O)[nH]c(N)nc65)C4)OC(n4cc(C)c(=O)[nH]c4=O)C3)O2)c(=O)[nH]c1=O,Original,,,,,,,,
VINBLASTINE SULFATE,1,,1,Most,1,Most,1,Most,1,Most,1,,1,Most,0,,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,cc[c@]1(o)c[c@@h]2cn(ccc3c([nh]c4ccccc34)[c@@](c(=o)oc)(c3cc4c(cc3oc)n(c)[c@h]3[c@@](o)(c(=o)oc)[c@h](oc(c)=o)[c@]5(cc)c=ccn6cc[c@]43[c@@h]65)c2)c1,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,Original,,,,,,,,
VINCRISTINE SULFATE,1,,1,Most,1,Most,1,Most,1,Most,1,Most,1,Most,1,,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,cc[c@]1(o)c[c@h]2cn(ccc3c([nh]c4ccccc34)[c@@](c(=o)oc)(c3cc4c(cc3oc)n(c=o)[c@h]3[c@@](o)(c(=o)oc)[c@h](oc(c)=o)[c@]5(cc)c=ccn6cc[c@]43[c@@h]65)c2)c1,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,Original,,,,,,,,
VINORELBINE,1,,1,Most,1,Most,1,,1,Most,1,,1,Most,0,,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,ccc1=c[c@@h]2cn(c1)cc1c([nh]c3ccccc13)[c@@](c(=o)oc)(c1cc3c(cc1oc)n(c)[c@h]1[c@@](o)(c(=o)oc)[c@h](oc(c)=o)[c@]4(cc)c=ccn5cc[c@]31[c@@h]54)c2,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,Original,,,,,,,,
VISMODEGIB,0,,1,Most,0,,1,Most,1,Most,0,,0,,0,,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,cs(=o)(=o)c1ccc(c(=o)nc2ccc(cl)c(-c3ccccn3)c2)c(cl)c1,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,Original,,,,,,,,
VITAMIN A PALMITATE,0,,1,Most,1,,0,,1,Most,0,,0,,1,,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,cccccccccccccccc(=o)oc/c=c(c)/c=c/c=c(c)/c=c/c1=c(c)cccc1(c)c,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,Original,,,,,,,,
VOCLOSPORIN,1,Most,1,Most,1,Most,0,,0,,0,,0,,1,Most,C=C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,c=c/c=c/c[c@@h](c)[c@@h](o)[c@h]1c(=o)n[c@@h](cc)c(=o)n(c)cc(=o)n(c)[c@@h](cc(c)c)c(=o)n[c@@h](c(c)c)c(=o)n(c)[c@@h](cc(c)c)c(=o)n[c@@h](c)c(=o)n[c@h](c)c(=o)n(c)[c@@h](cc(c)c)c(=o)n(c)[c@@h](cc(c)c)c(=o)n(c)[c@@h](c(c)c)c(=o)n1c,C=C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,Original,,,,,,,,
VORAPAXAR,0,,1,,1,Most,0,,0,,0,,0,,0,,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,ccoc(=o)n[c@@h]1cc[c@@h]2[c@@h](c1)c[c@h]1c(=o)o[c@h](c)[c@h]1[c@h]2/c=c/c1ccc(-c2cccc(f)c2)cn1,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,Original,,,,,,,,
VORICONAZOLE,1,Most,1,Most,1,Most,0,,1,Most,0,,0,,1,Most,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,c[c@@h](c1ncncc1f)[c@](o)(cn1cncn1)c1ccc(f)cc1f,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,Original,,,,,,,,
VORINOSTAT,1,Most,1,Most,1,Most,1,Most,1,Most,0,,1,Most,1,,O=C(CCCCCCC(=O)Nc1ccccc1)NO,o=c(ccccccc(=o)nc1ccccc1)no,O=C(CCCCCCC(=O)Nc1ccccc1)NO,Original,,,,,,,,
VORTIOXETINE,0,,1,,1,Most,0,,0,,0,,1,,0,,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,cc1ccc(sc2ccccc2n2ccncc2)c(c)c1,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,Original,,,,,,,,
VOSORITIDE,0,,1,Most,0,,0,,0,,0,,0,,0,,CCC(C)C1NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CC(N)=O)NC(=O)C(C)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C2CCCN2C(=O)C(Cc2cnc[nH]2)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C2CCCN2)CSSCC(C(=O)O)NC(=O)CNC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CO)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)CNC1=O,ccc(c)c1nc(=o)c(cccnc(=n)n)nc(=o)c(cc(=o)o)nc(=o)c(cc(c)c)nc(=o)c(ccccn)nc(=o)c(cc(c)c)nc(=o)cnc(=o)c(cc2ccccc2)nc(=o)c(nc(=o)cnc(=o)c(ccccn)nc(=o)c(co)nc(=o)c(cc(c)c)nc(=o)cnc(=o)c(ccccn)nc(=o)c(ccccn)nc(=o)c(cc(n)=o)nc(=o)c(c)nc(=o)cnc(=o)c(ccccn)nc(=o)c(cc2ccc(o)cc2)nc(=o)c(ccccn)nc(=o)c(cccnc(=n)n)nc(=o)c(c)nc(=o)c(cc(n)=o)nc(=o)c2cccn2c(=o)c(cc2cnc[nh]2)nc(=o)c(ccc(=o)o)nc(=o)c(ccc(n)=o)nc(=o)cnc(=o)c2cccn2)csscc(c(=o)o)nc(=o)cnc(=o)c(cc(c)c)nc(=o)cnc(=o)c(co)nc(=o)c(ccsc)nc(=o)c(co)nc(=o)cnc1=o,CCC(C)C1NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CC(N)=O)NC(=O)C(C)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C2CCCN2C(=O)C(Cc2cnc[nH]2)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C2CCCN2)CSSCC(C(=O)O)NC(=O)CNC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CO)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)CNC1=O,Original,,,,,,,,
VOXELOTOR,0,,1,Most,1,,0,,1,Most,0,,1,,0,,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,cc(c)n1nccc1-c1ncccc1coc1cccc(o)c1c=o,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,Original,,,,,,,,
WARFARIN SODIUM,0,,1,Most,1,Most,0,,1,,0,,0,,0,,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,cc(=o)cc(c1ccccc1)c1c(o)c2ccccc2oc1=o,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Original,,,,,,,,
ZALEPLON,0,,1,,0,,1,Most,1,,1,,0,,0,,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,ccn(c(c)=o)c1cccc(-c2ccnc3c(c#n)cnn23)c1,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,Original,,,,,,,,
ZANUBRUTINIB,1,Most,1,Most,1,Most,1,,1,,0,,1,,0,,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,c=cc(=o)n1ccc([c@@h]2ccnc3c(c(n)=o)c(-c4ccc(oc5ccccc5)cc4)nn32)cc1,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,Original,,,,,,,,
ZICONOTIDE ACETATE,0,,1,Most,0,,1,Most,0,,0,,0,,1,Most,CSCCC1NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C2CSSCC3NC(=O)C(CO)NC(=O)CNC(=O)C(C(C)O)NC(=O)C(CSSCC(N)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCCN)C(=O)NCC(=O)NC(C)C(=O)NC(CCCCN)C(=O)N2)NC(=O)C(CSSCC(C(N)=O)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC3=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC1=O,csccc1nc(=o)c(cc(c)c)nc(=o)c(cccnc(=n)n)nc(=o)c(co)nc(=o)c2csscc3nc(=o)c(co)nc(=o)cnc(=o)c(c(c)o)nc(=o)c(csscc(n)c(=o)nc(ccccn)c(=o)ncc(=o)nc(ccccn)c(=o)ncc(=o)nc(c)c(=o)nc(ccccn)c(=o)n2)nc(=o)c(csscc(c(n)=o)nc(=o)c(ccccn)nc(=o)cnc(=o)c(co)nc(=o)c(cccnc(=n)n)nc3=o)nc(=o)c(cc(=o)o)nc(=o)c(cc2ccc(o)cc2)nc1=o,CSCCC1NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C2CSSCC3NC(=O)C(CO)NC(=O)CNC(=O)C(C(C)O)NC(=O)C(CSSCC(N)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCCN)C(=O)NCC(=O)NC(C)C(=O)NC(CCCCN)C(=O)N2)NC(=O)C(CSSCC(C(N)=O)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC3=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC1=O,Original,,,,,,,,
ZIDOVUDINE,1,,1,Most,1,Most,0,,1,Most,1,,0,,0,,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,cc1cn([c@h]2c[c@h](n=[n+]=[n-])[c@@h](co)o2)c(=o)[nh]c1=o,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,Original,,,,,,,,
ZILEUTON,0,,1,,1,,1,,1,Most,0,,0,,1,,CC(c1cc2ccccc2s1)N(O)C(N)=O,cc(c1cc2ccccc2s1)n(o)c(n)=o,CC(c1cc2ccccc2s1)N(O)C(N)=O,Original,,,,,,,,
ZINC CHLORIDE,0,,0,,1,Most,0,,0,,0,,1,,0,,[Zn+2],[zn+2],[Zn+2],Original,,,,,,,,
ZINC SULFATE,0,,0,,1,Most,0,,0,,0,,1,,0,,O=S(=O)(O)O,o=s(=o)(o)o,O=S(=O)(O)O,Original,,,,,,,,
ZIPRASIDONE HCL,1,Most,1,Most,1,Most,1,Most,0,,0,,1,,0,,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,o=c1cc2cc(ccn3ccn(c4nsc5ccccc45)cc3)c(cl)cc2n1,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,Original,,,,,,,,
ZIPRASIDONE MESYLATE,1,Most,1,Most,1,Most,1,,1,,0,,0,,0,,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,o=c1cc2cc(ccn3ccn(c4nsc5ccccc45)cc3)c(cl)cc2n1,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,Original,,,,,,,,
ZOLEDRONIC ACID,1,Most,1,Most,1,,1,Most,0,,0,,1,,1,Most,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,o=p(o)(o)c(o)(cn1ccnc1)p(=o)(o)o,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,Original,,,,,,,,
ZOLMITRIPTAN,1,Most,1,,0,,0,,0,,0,,0,,0,,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,cn(c)ccc1c[nh]c2ccc(c[c@h]3coc(=o)n3)cc12,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,Original,,,,,,,,
ZOLPIDEM TARTRATE,0,,1,,1,,0,,1,Most,0,,1,Most,0,,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1.Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1.O=C(O)C(O)C(O)C(=O)O,cc1ccc(-c2nc3ccc(c)cn3c2cc(=o)n(c)c)cc1.cc1ccc(-c2nc3ccc(c)cn3c2cc(=o)n(c)c)cc1.o=c(o)c(o)c(o)c(=o)o,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1.Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1.O=C(O)C(O)C(O)C(=O)O,Original,,,,,,,,
ZONISAMIDE,1,,1,Most,1,Most,1,Most,1,Most,0,,0,,1,Most,NS(=O)(=O)Cc1noc2ccccc12,ns(=o)(=o)cc1noc2ccccc12,NS(=O)(=O)Cc1noc2ccccc12,Original,,,,,,,,
(CHLOROPROCAINE HCI,1,Most,1,Most,1,Most,0,,0,,0,,1,Most,0,,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,ccn(cc)ccoc(=o)c1ccc(n)cc1cl,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,Original,,,,,,,,
"(COAGULATION FACTOR IX (RECOMBINANT), GLYCOPEGYLATED)",0,,1,Most,1,Most,0,,0,,0,,0,,1,,Not found,not found,,NotFound,"(COAGULATION FACTOR IX (RECOMBINANT), GLYCOPEGYLATED)","(COAGULATION FACTOR IX (RECOMBINANT), GLYCOPEGYLATED)",,,not_found | variants_tried=2,,None,no_hit | variants=['GLYCOPEGYLATED']
(SOTRADECOL) SODIUM TETRADECYL SULFATE,1,Most,1,Most,1,Most,0,,0,,0,,1,Most,0,,Not found,not found,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],ChEMBL,,,,,,,,
0.12% CHLORHEXIDINE GLUCONATE,0,,1,Most,0,,0,,0,,0,,0,,0,,NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1.O=C(O)C(O)C(O)C(O)C(O)CO.O=C(O)C(O)C(O)C(O)C(O)CO,nc(=nccccccn=c(n)n=c(n)nc1ccc(cl)cc1)n=c(n)nc1ccc(cl)cc1.o=c(o)c(o)c(o)c(o)c(o)co.o=c(o)c(o)c(o)c(o)c(o)co,NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1.O=C(O)C(O)C(O)C(O)C(O)CO.O=C(O)C(O)C(O)C(O)C(O)CO,Original,,,,,,,,
0.25% BUPIVACAINE HCL; BUPIVACAINE HYDROCHLORIDE,1,Most,1,Most,1,Most,0,,1,Most,0,,1,Most,0,,Not found,not found,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,ChEMBL,,,,,,,,
0.5% LIDOCAINE HCL,1,Most,1,,1,Most,0,,0,,0,,1,Most,0,,CCN(CC)CC(=O)Nc1c(C)cccc1C,ccn(cc)cc(=o)nc1c(c)cccc1c,CCN(CC)CC(=O)Nc1c(C)cccc1C,Original,,,,,,,,
0.9% SODIUM CHLORIDE,1,Most,0,,0,,0,,0,,0,,1,Most,1,Most,[Na+],[na+],[Na+],Original,,,,,,,,
1% LIDOCAINE HCI,1,Most,1,Most,1,Most,0,,1,Most,1,,1,Most,0,,CCN(CC)CC(=O)Nc1c(C)cccc1C,ccn(cc)cc(=o)nc1c(c)cccc1c,CCN(CC)CC(=O)Nc1c(C)cccc1C,Original,,,,,,,,
1% LIDOCAINE HCI; 2% LIDOCAINE HCI,1,Most,1,Most,1,Most,0,,0,,1,,1,Most,0,,Not found,not found,CCN(CC)CC(=O)Nc1c(C)cccc1C,ChEMBL,1% LIDOCAINE HCI; 2% LIDOCAINE HCI,1% LIDOCAINE HCI; 2% LIDOCAINE HCI,CCN(CC)CC(=O)Nc1c(C)cccc1C,ChEMBL,found_chembl | variants_tried=4,,,
2% LIDOCAINE HCI,1,Most,0,,0,,0,,0,,0,,1,,0,,CCN(CC)CC(=O)Nc1c(C)cccc1C,ccn(cc)cc(=o)nc1c(c)cccc1c,CCN(CC)CC(=O)Nc1c(C)cccc1C,Original,,,,,,,,
25% DEXTROSE INFANT,0,,1,Most,1,,0,,0,,0,,0,,0,,O=CC(O)C(O)C(O)C(O)CO,o=cc(o)c(o)c(o)c(o)co,O=CC(O)C(O)C(O)C(O)CO,Original,,,,,,,,
3% SODIUM CHLORIDE,1,Most,1,,0,,0,,0,,0,,1,Most,1,Most,[Na+],[na+],[Na+],Original,,,,,,,,
5% DEXTROSE,0,,0,,1,,0,,0,,0,,1,Most,0,,O=CC(O)C(O)C(O)C(O)CO,o=cc(o)c(o)c(o)c(o)co,O=CC(O)C(O)C(O)C(O)CO,Original,,,,,,,,
50% DEXTROSE,0,,1,Most,1,Most,0,,0,,0,,0,,0,,O=CC(O)C(O)C(O)C(O)CO,o=cc(o)c(o)c(o)c(o)co,O=CC(O)C(O)C(O)C(O)CO,Original,,,,,,,,
50% MAGNESIUM SULFATE,1,Most,0,,0,,0,,0,,0,,1,Most,1,Most,O=S(=O)(O)O,o=s(=o)(o)o,O=S(=O)(O)O,Original,,,,,,,,
6% HETASTARCH IN 0.9% SODIUM CHLORIDE,1,Most,1,Most,1,Most,0,,1,,0,,1,Most,1,Most,Not found,not found,[Cl-].[Na+],ChEMBL,6% HETASTARCH IN 0.9% SODIUM CHLORIDE,6% HETASTARCH IN 0.9% SODIUM CHLORIDE,[Cl-].[Na+],ChEMBL,found_chembl | variants_tried=4,,,
